,yield,n,name,ag_period
0,6702.5,0.0,Historical,Primera
1,6892.333333333333,3.8461538461538463,Historical,Primera
2,7342.0,7.6923076923076925,Historical,Primera
3,7426.8,11.538461538461538,Historical,Primera
4,7826.8,15.384615384615385,Historical,Primera
5,8114.2,19.230769230769234,Historical,Primera
6,8241.848484848484,23.076923076923077,Historical,Primera
7,8261.57142857143,26.923076923076923,Historical,Primera
8,8393.879310344828,30.76923076923077,Historical,Primera
9,8418.333333333334,34.61538461538461,Historical,Primera
10,8462.575757575758,38.46153846153847,Historical,Primera
11,8701.0,42.30769230769231,Historical,Primera
12,8823.4,46.15384615384615,Historical,Primera
13,8828.6,50.0,Historical,Primera
14,8872.375,53.84615384615385,Historical,Primera
15,9021.285714285714,57.692307692307686,Historical,Primera
16,9056.09090909091,61.53846153846154,Historical,Primera
17,9141.625,65.38461538461539,Historical,Primera
18,9224.818181818182,69.23076923076923,Historical,Primera
19,9482.121212121212,73.07692307692307,Historical,Primera
20,9532.2,76.92307692307693,Historical,Primera
21,9579.2,80.76923076923077,Historical,Primera
22,9674.285714285714,84.61538461538461,Historical,Primera
23,9757.0,88.46153846153845,Historical,Primera
24,9779.60606060606,92.3076923076923,Historical,Primera
25,9962.0,96.15384615384616,Historical,Primera
26,10287.0,100.0,Historical,Primera
0,6892.333333333333,0.0,El Niño,Primera
1,7342.0,12.5,El Niño,Primera
2,7426.8,25.0,El Niño,Primera
3,7826.8,37.5,El Niño,Primera
4,8261.57142857143,50.0,El Niño,Primera
5,8701.0,62.5,El Niño,Primera
6,9021.285714285714,75.0,El Niño,Primera
7,9674.285714285714,87.5,El Niño,Primera
8,9962.0,100.0,El Niño,Primera
0,6702.5,0.0,La Niña,Primera
1,8114.2,12.5,La Niña,Primera
2,8823.4,25.0,La Niña,Primera
3,8828.6,37.5,La Niña,Primera
4,9141.625,50.0,La Niña,Primera
5,9532.2,62.5,La Niña,Primera
6,9579.2,75.0,La Niña,Primera
7,9757.0,87.5,La Niña,Primera
8,10287.0,100.0,La Niña,Primera
0,5355.714285714285,0.0,Historical,Canicula
1,5961.142857142857,3.8461538461538463,Historical,Canicula
2,6301.7,7.6923076923076925,Historical,Canicula
3,6374.151515151515,11.538461538461538,Historical,Canicula
4,6581.6,15.384615384615385,Historical,Canicula
5,6882.545454545455,19.230769230769234,Historical,Canicula
6,7165.0,23.076923076923077,Historical,Canicula
7,7815.181818181818,26.923076923076923,Historical,Canicula
8,7932.571428571428,30.76923076923077,Historical,Canicula
9,8126.2,34.61538461538461,Historical,Canicula
10,8174.285714285715,38.46153846153847,Historical,Canicula
11,8431.09090909091,42.30769230769231,Historical,Canicula
12,8650.9,46.15384615384615,Historical,Canicula
13,8678.0,50.0,Historical,Canicula
14,8882.0,53.84615384615385,Historical,Canicula
15,8882.714285714286,57.692307692307686,Historical,Canicula
16,9052.8,61.53846153846154,Historical,Canicula
17,9095.818181818182,65.38461538461539,Historical,Canicula
18,9120.166666666666,69.23076923076923,Historical,Canicula
19,9425.2,73.07692307692307,Historical,Canicula
