,group,value,variable
0,02-28,3001.625,Historical
1,03-07,3211.8125,Historical
2,03-14,4238.125,Historical
3,03-21,4893.454545454545,Historical
4,03-31,6089.568965517241,Historical
5,04-07,7640.606060606061,Historical
6,04-14,8331.575757575758,Historical
7,04-21,8748.333333333334,Historical
8,04-30,9141.121212121212,Historical
9,05-07,9019.030303030304,Historical
10,05-14,8844.181818181818,Historical
11,05-21,8871.575757575758,Historical
12,05-31,8876.787878787878,Historical
13,06-07,9394.484848484848,Historical
14,06-14,9589.30303030303,Historical
15,06-21,9839.151515151516,Historical
16,06-30,10135.636363636364,Historical
17,07-07,10520.515151515152,Historical
18,07-14,10544.424242424242,Historical
19,07-21,10292.272727272728,Historical
20,07-31,10200.666666666666,Historical
21,08-07,9893.545454545454,Historical
22,08-14,9405.272727272728,Historical
23,08-21,8709.636363636364,Historical
24,08-31,7558.409090909091,Historical
25,09-07,6524.30303030303,Historical
26,09-14,5920.545454545455,Historical
27,09-21,5664.3125,Historical
28,09-30,5074.30303030303,Historical
29,10-07,4670.060606060606,Historical
30,10-14,4275.0,Historical
31,10-21,3695.25,Historical
32,10-31,3335.121212121212,Historical
0,02-28,1524.0,El Niño
1,03-07,3073.25,El Niño
2,03-14,4035.0,El Niño
3,03-21,4262.75,El Niño
4,03-31,4888.928571428572,El Niño
5,04-07,5789.166666666667,El Niño
6,04-14,7238.333333333333,El Niño
7,04-21,8207.0,El Niño
8,04-30,8352.833333333334,El Niño
9,05-07,7679.6,El Niño
10,05-14,7846.0,El Niño
11,05-21,8105.0,El Niño
12,05-31,7609.8,El Niño
13,06-07,8594.285714285714,El Niño
14,06-14,8819.857142857143,El Niño
15,06-21,9228.714285714286,El Niño
16,06-30,9739.57142857143,El Niño
17,07-07,10655.0,El Niño
18,07-14,10298.4,El Niño
19,07-21,9539.2,El Niño
20,07-31,9465.4,El Niño
21,08-07,9856.0,El Niño
22,08-14,8773.142857142857,El Niño
23,08-21,8314.857142857143,El Niño
24,08-31,6889.071428571428,El Niño
25,09-07,5728.111111111111,El Niño
26,09-14,5257.444444444444,El Niño
27,09-21,5598.875,El Niño
28,09-30,4666.333333333333,El Niño
29,10-07,4275.7,El Niño
30,10-14,3969.8,El Niño
31,10-21,3228.4,El Niño
32,10-31,2689.9,El Niño
0,02-28,2819.25,La Niña
1,03-07,3495.4545454545455,La Niña
2,03-14,4829.272727272727,La Niña
3,03-21,6133.181818181818,La Niña
4,03-31,7451.944444444444,La Niña
5,04-07,7860.571428571428,La Niña
6,04-14,8633.57142857143,La Niña
7,04-21,9496.285714285714,La Niña
8,04-30,9467.57142857143,La Niña
9,05-07,8719.4,La Niña
10,05-14,8345.4,La Niña
11,05-21,8994.6,La Niña
12,05-31,9445.2,La Niña
13,06-07,9803.4,La Niña
14,06-14,10120.4,La Niña
15,06-21,10321.8,La Niña
16,06-30,10544.4,La Niña
17,07-07,10798.666666666666,La Niña
18,07-14,10880.833333333334,La Niña
19,07-21,10219.5,La Niña
20,07-31,9695.5,La Niña
21,08-07,9393.1,La Niña
22,08-14,9140.0,La Niña
23,08-21,8565.8,La Niña
24,08-31,7127.75,La Niña
25,09-07,6500.727272727273,La Niña
26,09-14,5788.272727272727,La Niña
27,09-21,5389.636363636364,La Niña
28,09-30,4788.636363636364,La Niña
29,10-07,4808.75,La Niña
30,10-14,4124.666666666667,La Niña
31,10-21,3587.6363636363635,La Niña
32,10-31,3264.6666666666665,La Niña
