,month_day,y,y_upper,y_lower
0,02-28,3324.625,5543.385589511952,1105.8644104880473
1,03-01,3347.9583333333335,5082.137238881799,1613.7794277848677
2,03-07,3969.4242424242425,6188.55791390371,1750.290570944775
3,03-14,4744.515151515152,7085.679166503371,2403.3511365269333
4,03-21,5872.090909090909,8344.305849226024,3399.8759689557937
5,03-28,6784.545454545455,8885.951607144667,4683.139301946244
6,04-07,7611.818181818182,9481.963036744957,5741.673326891407
7,04-14,8111.242424242424,9576.776030780991,6645.708817703857
8,04-21,8528.787878787878,9709.181239006617,7348.394518569139
9,04-28,8658.515151515152,9962.488265722557,7354.542037307747
10,05-01,8418.333333333334,9941.8338392954,6894.832827371269
11,05-07,8872.375,10553.003703576645,7191.746296423355
12,05-14,8462.575757575758,10127.092786444475,6798.058728707041
13,05-21,8241.848484848484,10257.622733140131,6226.074236556837
14,05-28,8393.879310344828,10270.315967692502,6517.442652997153
15,06-07,9056.09090909091,10436.604386108527,7675.577432073293
16,06-14,9224.818181818182,10536.514851558977,7913.121512077388
17,06-21,9482.121212121212,10695.105439079043,8269.13698516338
18,06-28,9779.60606060606,10691.029704534678,8868.182416677442
19,07-07,9916.939393939394,10573.670785919496,9260.208001959292
20,07-14,9869.636363636364,10733.664351398545,9005.608375874182
21,07-21,9647.424242424242,10673.010234379057,8621.838250469427
22,07-28,9429.060606060606,10580.238506609483,8277.882705511729
23,08-01,9095.818181818182,10406.583737098412,7785.052626537952
24,08-07,8431.09090909091,9869.496957544292,6992.684860637528
25,08-14,7815.181818181818,9802.181542240452,5828.182094123184
26,08-21,6882.545454545455,9323.855785224825,4441.235123866085
27,08-28,6374.151515151515,8449.62842000393,4298.6746102991
28,09-07,5849.636363636364,7986.668575872849,3712.6041513998794
29,09-14,5527.5625,7701.501528398347,3353.6234716016534
30,09-21,5317.233333333334,7402.711442467582,3231.755224199085
31,09-28,4647.060606060606,6810.740341190582,2483.3808709306304
32,10-01,4594.5,6133.072250961446,3055.927749038554
33,10-07,4158.708333333333,6359.265742543982,1958.150924122684
34,10-14,3643.84375,5594.461354584382,1693.2261454156173
35,10-21,3166.28125,4856.306659894392,1476.2558401056076
36,10-28,2939.03125,4613.946567731789,1264.1159322682108
