,HDAT,DayFl,harvDM_f_hay,n_cycle,texture,date,nyear_month_day,daytoflower,period
8490,1991-04-01,0,0.0,1,clayloam,1991-04-01,2000-04-01,,1991 - 1998
8491,1991-04-02,0,0.0,1,clayloam,1991-04-02,2000-04-02,,1991 - 1998
8492,1991-04-03,0,0.0,1,clayloam,1991-04-03,2000-04-03,,1991 - 1998
8493,1991-04-04,0,0.0,1,clayloam,1991-04-04,2000-04-04,,1991 - 1998
8494,1991-04-05,0,0.0,1,clayloam,1991-04-05,2000-04-05,,1991 - 1998
8495,1991-04-06,0,0.0,1,clayloam,1991-04-06,2000-04-06,,1991 - 1998
8496,1991-04-07,0,0.0,1,clayloam,1991-04-07,2000-04-07,,1991 - 1998
8497,1991-04-08,0,0.0,1,clayloam,1991-04-08,2000-04-08,,1991 - 1998
8498,1991-04-09,0,0.0,1,clayloam,1991-04-09,2000-04-9,,1991 - 1998
8499,1991-04-10,0,0.0,1,clayloam,1991-04-10,2000-04-10,,1991 - 1998
8500,1991-04-11,0,0.0,1,clayloam,1991-04-11,2000-04-11,,1991 - 1998
8501,1991-04-12,0,0.0,1,clayloam,1991-04-12,2000-04-12,,1991 - 1998
8502,1991-04-13,0,0.0,1,clayloam,1991-04-13,2000-04-13,,1991 - 1998
8503,1991-04-14,0,0.0,1,clayloam,1991-04-14,2000-04-14,,1991 - 1998
8504,1991-04-15,0,0.0,1,clayloam,1991-04-15,2000-04-15,,1991 - 1998
8505,1991-04-16,0,0.0,1,clayloam,1991-04-16,2000-04-16,,1991 - 1998
8506,1991-04-17,0,0.0,1,clayloam,1991-04-17,2000-04-17,,1991 - 1998
8507,1991-04-18,0,0.0,1,clayloam,1991-04-18,2000-04-18,,1991 - 1998
8508,1991-04-19,0,0.0,1,clayloam,1991-04-19,2000-04-19,,1991 - 1998
8509,1991-04-20,0,0.0,1,clayloam,1991-04-20,2000-04-20,,1991 - 1998
8510,1991-04-21,0,0.0,1,clayloam,1991-04-21,2000-04-21,,1991 - 1998
8511,1991-04-22,0,0.0,1,clayloam,1991-04-22,2000-04-22,,1991 - 1998
8512,1991-04-23,0,0.0,1,clayloam,1991-04-23,2000-04-23,,1991 - 1998
8513,1991-04-24,0,0.0,1,clayloam,1991-04-24,2000-04-24,,1991 - 1998
8514,1991-04-25,0,0.0,1,clayloam,1991-04-25,2000-04-25,,1991 - 1998
8515,1991-04-26,0,0.0,1,clayloam,1991-04-26,2000-04-26,,1991 - 1998
8516,1991-04-27,0,0.0,1,clayloam,1991-04-27,2000-04-27,,1991 - 1998
8517,1991-04-28,0,0.0,1,clayloam,1991-04-28,2000-04-28,,1991 - 1998
8518,1991-04-29,0,0.0,1,clayloam,1991-04-29,2000-04-29,,1991 - 1998
8519,1991-04-30,0,0.0,1,clayloam,1991-04-30,2000-04-30,,1991 - 1998
8520,1991-05-01,0,0.0,1,clayloam,1991-05-01,2000-05-01,,1991 - 1998
8521,1991-05-02,0,0.0,1,clayloam,1991-05-02,2000-05-02,,1991 - 1998
8522,1991-05-03,0,0.0,1,clayloam,1991-05-03,2000-05-03,,1991 - 1998
8523,1991-05-04,0,0.0,1,clayloam,1991-05-04,2000-05-04,,1991 - 1998
8524,1991-05-05,0,0.0,1,clayloam,1991-05-05,2000-05-05,,1991 - 1998
8525,1991-05-06,0,0.0,1,clayloam,1991-05-06,2000-05-06,,1991 - 1998
8526,1991-05-07,0,0.0,1,clayloam,1991-05-07,2000-05-07,,1991 - 1998
8527,1991-05-08,0,0.0,1,clayloam,1991-05-08,2000-05-08,,1991 - 1998
8528,1991-05-09,0,0.0,1,clayloam,1991-05-09,2000-05-9,,1991 - 1998
8529,1991-05-10,0,0.0,1,clayloam,1991-05-10,2000-05-10,,1991 - 1998
8530,1991-05-11,0,0.0,1,clayloam,1991-05-11,2000-05-11,,1991 - 1998
8531,1991-05-12,0,0.0,1,clayloam,1991-05-12,2000-05-12,,1991 - 1998
8532,1991-05-13,0,0.0,1,clayloam,1991-05-13,2000-05-13,,1991 - 1998
